    id    |                                                     units                                                      
 1045062  | ["", "ounces"]
 1049     | ["", "head", "ounces", "packages", "servings"]
 1049195  | ["", "ounces", "servings"]
 10511282 | ["", "ounces"]
 10514037 | ["", "ounces"]
 10516050 | ["cans", "ounces"]
 10519297 | ["ounces"]
 1052     | ["", "ounces"]
 1052009  | ["", "ounces"]
 1052027  | ["ounces"]
 1052034  | ["ounces", "servings"]
 10520420 | ["", "boxes", "bunches", "ounces"]
 10520421 | [""]
 1052047  | ["ounces", "servings"]
 1053     | ["", "ounces", "servings", "sprigs"]
 1054     | ["cans", "ounces", "servings"]
 1055062  | ["", "ounces", "servings", "slices"]
 1056     | ["", "ounces", "servings"]
 1057     | ["ounces"]
 1059195  | ["", "cans", "ounces", "servings"]
 10611111 | ["ounces"]
 10611282 | ["", "inches", "ounces", "servings"]
 10614037 | ["ounces"]
 10619297 | ["ounces"]
 1062009  | ["ounces"]
 1062027  | ["ounces"]
 1062034  | ["ounces"]
 10620420 | ["", "boxes", "ounces", "packages", "packets", "servings", "sheets", "slices"]
 10620421 | ["", "boxes"]
 1062047  | ["", "ounces", "servings"]
 1067     | ["ounces"]
 10711111 | ["", "bags", "drops", "inches", "ounces", "servings", "sticks", "tube"]
 10716050 | ["", "cans", "ounces"]
 10719297 | ["ounces"]
 1072009  | ["ounces"]
 1072034  | ["ounces", "servings"]
 10720420 | ["ounces", "servings"]
 10720421 | ["ounces", "servings"]
 1072047  | ["ounces"]
 1077     | ["", "cans", "drops", "ounces", "servings"]
 10811111 | ["", "drops", "ounces"]
 10814037 | ["", "ounces", "servings"]
 10816050 | ["ounces"]
 10819297 | ["", "ounces", "servings"]
 10820420 | ["ounces"]
 1082047  | ["", "ounces", "servings"]
 1085     | ["ounces"]
 10862    | ["", "bunches", "ounces", "packages", "servings", "slices"]
 1088     | ["ounces"]
 1090     | ["", "ounces"]
 10911111 | ["ounces"]
 10914037 | ["ounces"]
 10920420 | ["", "ounces"]
 10920421 | ["ounces"]
 1094     | ["ounces"]
 1095     | ["cans", "ounces", "servings"]
 10958    | ["ounces"]
 10963    | ["ounces"]
 1097     | ["ounces"]
 10983    | ["", "ounces", "servings"]
 11001    | ["ounces", "servings"]
 11007    | ["", "ounces"]
 11011    | ["", "bags", "bunches", "ounces", "servings", "slices", "stalks"]
 11014037 | ["ounces"]
 11019297 | ["ounces"]
 11020420 | ["", "8-inch", "ounces", "packages"]
 1102047  | ["", "ounces", "servings"]
 11024    | ["", "ounces"]
 11028    | ["", "cans", "inches", "ounces", "servings"]
 1103     | ["", "ounces"]
 11032    | ["ounces"]
 11043    | ["bunches", "leaves", "ounces", "servings", "slices"]
 11043028 | ["ounces"]
 11052    | ["", "cans", "ounces", "servings"]
 1106     | ["ounces", "servings"]
 11080    | ["", "bunches", "ounces", "servings"]
 11084    | ["", "ounces"]
 11086    | ["bunches", "ounces"]
 11090    | ["", "bags", "bunches", "head", "ounces", "servings"]
 11096    | ["bunches", "ounces"]
 11098    | ["", "bags", "ounces", "servings"]
 11104    | ["ounces"]
 11109    | ["", "head", "leaves", "ounces", "servings"]
 11111111 | ["ounces"]
 11112    | ["", "head", "ounces", "servings"]
 11114    | ["", "head", "ounces"]
 11116    | ["", "bunches", "head", "ounces"]
 11120124 | ["ounces"]
 11120420 | ["ounces"]
 11120421 | ["ounces"]
 11124    | ["", "bags", "bunches", "ounces", "servings", "slices", "sticks"]
 11134    | ["ounces"]
 11135    | ["", "bags", "head", "ounces", "servings", "slices"]
 11141    | ["", "ounces", "servings"]
 11143    | ["", "bunches", "head", "ounces", "ribs", "servings", "slices", "stalks", "sticks", "strips"]
 11147    | ["", "bunches", "leaf", "ounces", "servings"]
 11149    | ["", "ounces"]
 11151    | ["", "bunches", "head", "ounces", "slices"]
 11152    | ["head", "ounces"]
 11156    | ["", "bunches", "ounces", "servings", "sprigs"]
 1116     | ["ounces", "scoops", "servings"]
 11161    | ["", "bunches", "ounces"]
 11165    | ["", "bunches", "leaves", "ounces", "servings", "slices", "sprigs"]
 11167    | ["", "ounces", "servings"]
 11168    | ["", "bags", "cans", "jars", "ounces", "packages", "servings"]
 1117     | ["ounces"]
 11172    | ["", "cans", "ounces", "servings"]
 11174    | ["cans", "ounces"]
 11176    | ["ounces"]
 11177    | ["cans", "ounces", "servings"]
 1118     | ["ounces", "servings"]
 1119     | ["", "containers", "ounces", "servings"]
 11190    | ["ounces"]
 11199    | ["bunches", "ounces"]
 11206    | ["", "inches", "ounces", "servings", "slices"]
 11207    | ["bunches", "ounces", "servings"]
 11209    | ["", "inches", "ounces", "servings", "slices"]
 11211111 | ["ounces"]
 11212    | ["ounces"]
 11213    | ["", "bunches", "head", "leaves", "ounces", "servings"]
 11215    | ["", "cans", "cloves", "head", "leaves", "ounces", "servings", "stalks"]
 11216    | ["", "ball", "chunks", "inches", "ounces", "servings", "slices"]
 11219297 | ["ounces"]
 11220420 | ["ounces"]
 11226    | ["ounces"]
 1123     | ["", "boxes", "inches", "ounces", "servings"]
 11233    | ["", "bunches", "head", "leaves", "ounces", "servings", "stalks"]
 11238    | ["", "ounces"]
 11239    | ["ounces"]
 1124     | ["", "ounces", "servings"]
 11240    | ["ounces"]
 11241    | [""]
 11246    | ["", "bunches", "ounces", "servings", "slices"]
 1125     | ["", "ounces"]
 11250    | ["", "bags", "head", "leaf", "leaves", "ounces", "servings"]
 11252    | ["", "bags", "bunches", "head", "leaf", "leaves", "ounces", "servings", "slices"]
 11253    | ["leaf"]
 11257    | ["head", "leaf", "leaves", "ounces", "servings"]
 11260    | ["", "containers", "jars", "ounces", "packages", "packets", "servings"]
 11264    | ["ounces"]
 11265    | ["", "inches", "ounces"]
 11266    | ["", "containers", "ounces", "packages"]
 11268    | ["", "ounces"]
 11270    | ["bunches", "leaves", "ounces"]
 11278    | ["", "ounces"]
 11282    | ["", "chunks", "cloves", "ounces", "servings", "slices"]
 11284    | ["ounces", "servings"]
 1129     | [""]
 11291    | ["", "bunches", "leaves", "ounces", "servings", "stalks", "strips"]
 11294    | ["", "ounces", "servings", "slices"]
 11297    | ["", "bunches", "cubes", "leaf", "leaves", "ounces", "servings", "sprigs", "stalks"]
 11298    | ["", "ounces"]
 11300    | ["", "ounces", "servings"]
 11304    | ["", "ounces", "packages", "servings"]
 11306    | ["ounces"]
 1131     | ["", "servings"]
 11311111 | ["ounces"]
 11318    | ["ounces"]
 11319297 | ["ounces"]
 11320420 | ["", "boxes", "ounces"]
 11320421 | ["ounces"]
 11322    | ["bags", "ounces"]
 11333    | ["", "ounces", "servings"]
 11343028 | ["ounces"]
 11352    | ["", "inches", "ounces", "servings"]
 11353    | ["", "ounces", "slices"]
 11355    | ["", "ounces", "servings"]
 11362    | ["", "bags", "ounces", "servings", "slices", "tub"]
 11378    | ["ounces", "packages"]
 1138     | [""]
